pais_id,estado,tipo,camas,poblacion,anho
BR,Acre,ICU,0.08504,881935,2018
BR,Alagoas,ICU,0.147122,3337357,2018
BR,Amazonas,ICU,0.121122,4144597,2018
BR,Amapa,ICU,0.096958,845731,2018
BR,Bahia,ICU,0.136421,14873064,2018
BR,Ceara,ICU,0.131514,9132078,2018
BR,Distrito Federal,ICU,0.341926,3015268,2018
BR,Espirito Santo,ICU,0.271484,4018650,2018
BR,Goias,ICU,0.200759,7018354,2018
BR,Maranhao,ICU,0.111234,7075181,2018
BR,Minas Gerais,ICU,0.205066,21168791,2018
BR,Mato Grosso do Sul,ICU,0.174164,2778986,2018
BR,Mato Grosso,ICU,0.251688,3484466,2018
BR,Para,ICU,0.11438,8602865,2018
BR,Paraiba,ICU,0.151314,4018127,2018
BR,Pernambuco,ICU,0.194725,9557071,2018
BR,Piaui,ICU,0.107845,3273227,2018
BR,Parana,ICU,0.249957,11433957,2018
BR,Rio de Janeiro,ICU,0.367276,17264943,2018
BR,Rio Grande do Norte,ICU,0.171379,3506853,2018
BR,Rondonia,ICU,0.165426,1777225,2018
BR,Roraima,ICU,0.079239,605761,2018
BR,Rio Grande do Sul,ICU,0.208662,11377239,2018
BR,Santa Catarina,ICU,0.154645,7164788,2018
BR,Sergipe,ICU,0.147475,2298696,2018
BR,Sao Paulo,ICU,0.258346,45919049,2018
BR,Tocantins,ICU,0.140508,1572866,2018
DE,Baden-Wurttemberg,ICU,0.294683,11069533,2017
DE,Freie Hansestadt Bremen,ICU,0.430463,682986,2017
DE,Hessen,ICU,0.294455,6265809,2017
DE,Hamburg,ICU,0.43559,1841179,2017
DE,Mecklenburg-Vorpommern,ICU,0.629941,1609675,2017
DE,Nordrhein-Westfalen,ICU,0.685677,17932651,2017
DE,Rheinland-Pfalz,ICU,0.328776,4084844,2017
DE,Schleswig-Holstein,ICU,0.299305,2896712,2017
DE,Saarland,ICU,0.553251,990509,2017
DE,Freistaat Sachsen,ICU,0.455868,4077937,2017
DE,Sachsen-Anhalt,ICU,0.407549,2208321,2017
DE,Thuringen,ICU,0.340621,2143145,2017
ES,Andalucia,ICU,0.076332,8332000,2011
ES,Aragon,ICU,0.113095,1344000,2011
ES,Principado de Asturias,ICU,0.168216,1076000,2011
ES,Canarias,ICU,0.09217,2104800,2011
ES,Cantabria,ICU,0.093084,590867,2011
ES,Castilla-La Mancha,ICU,0.075274,2099000,2011
ES,Castilla y Leon,ICU,0.090373,2545000,2011
