country,state,county,lat,lng,type,beds,population,year
US,AK,anchorage,63.588753,-154.493062,ACUTE,2.182916,298225,2018
US,AK,anchorage,63.588753,-154.493062,OTHER,0.191131,298225,2019
US,AK,anchorage,63.588753,-154.493062,PSYCHIATRIC,0.938888,298225,2018
US,AK,bethel,63.588753,-154.493062,ICU,2.060478,17957,2018
US,AK,dillingham,63.588753,-154.493062,ICU,2.814636,4974,2018
US,AK,fairbanks north star,63.588753,-154.493062,ACUTE,2.169328,100031,2018
US,AK,juneau,63.588753,-154.493062,ACUTE,1.757415,32434,2019
US,AK,kenai peninsula,63.588753,-154.493062,ACUTE,2.656959,57961,2018
US,AK,kenai peninsula,63.588753,-154.493062,ICU,0.862649,57961,2018
US,AK,ketchikan gateway,63.588753,-154.493062,ICU,3.928701,13745,2018
US,AK,kodiak island,63.588753,-154.493062,ACUTE,,n,2018
US,AK,matanuska-susitna,63.588753,-154.493062,ACUTE,0.731695,101135,2018
US,AK,nome,63.588753,-154.493062,ACUTE,3.647786,9869,2018
US,AK,north slope borough,63.588753,-154.493062,ICU,2.04981,9757,2019
US,AK,northwest arctic borough,63.588753,-154.493062,ICU,2.2035,7715,2018
US,AK,sitka,63.588753,-154.493062,ACUTE,,n,2018
US,AK,sitka,63.588753,-154.493062,ICU,,n,2018
US,AK,valdez-cordova,63.588753,-154.493062,ACUTE,,n,2018
US,AK,valdez-cordova,63.588753,-154.493062,ICU,,n,2018
US,AK,wrangell-petersburg,63.588753,-154.493062,ACUTE,,n,2018
US,AL,autauga,32.318231,-86.902298,ACUTE,1.544444,55036,2018
US,AL,baldwin,32.318231,-86.902298,ACUTE,1.632573,203360,2018
US,AL,baldwin,32.318231,-86.902298,PSYCHIATRIC,0.324548,203360,2018
US,AL,barbour,32.318231,-86.902298,ACUTE,2.82432,26201,2018
US,AL,bibb,32.318231,-86.902298,ACUTE,1.550044,22580,2018
US,AL,blount,32.318231,-86.902298,ICU,0.693638,57667,2018
US,AL,bullock,32.318231,-86.902298,ACUTE,5.821722,10478,2018
US,AL,butler,32.318231,-86.902298,ACUTE,4.670575,20126,2018
US,AL,calhoun,32.318231,-86.902298,ACUTE,4.778104,115527,2018
US,AL,calhoun,32.318231,-86.902298,OTHER,0.328927,115527,2018
US,AL,chambers,32.318231,-86.902298,ACUTE,3.392831,33895,2018
US,AL,cherokee,32.318231,-86.902298,ACUTE,2.320634,25855,2018
US,AL,chilton,32.318231,-86.902298,ACUTE,0.59354,43805,2018
US,AL,choctaw,32.318231,-86.902298,ICU,1.895663,13188,2018
US,AL,clarke,32.318231,-86.902298,ACUTE,3.451777,24625,2018
US,AL,clay,32.318231,-86.902298,ACUTE,3.356456,13407,2018
US,AL,coffee,32.318231,-86.902298,ACUTE,2.564956,51073,2018
US,AL,colbert,32.318231,-86.902298,ACUTE,6.668504,54435,2018
US,AL,conecuh,32.318231,-86.902298,ACUTE,4.585343,12649,2018
US,AL,covington,32.318231,-86.902298,ACUTE,5.597164,37519,2016
US,AL,crenshaw,32.318231,-86.902298,ACUTE,4.687725,13866,2018
US,AL,crenshaw,32.318231,-86.902298,PSYCHIATRIC,2.019328,13866,2018
US,AL,cullman,32.318231,-86.902298,ACUTE,1.774721,81703,2018
US,AL,cullman,32.318231,-86.902298,PSYCHIATRIC,0.489578,81703,2018
US,AL,dale,32.318231,-86.902298,ACUTE,1.801875,49393,2018
US,AL,dallas,32.318231,-86.902298,ACUTE,4.293952,40755,2018
US,AL,dekalb,32.318231,-86.902298,ACUTE,1.882181,71194,2018
US,AL,elmore,32.318231,-86.902298,ACUTE,1.703935,80989,2018
US,AL,escambia,32.318231,-86.902298,ACUTE,3.774488,37621,2018
US,AL,etowah,32.318231,-86.902298,ACUTE,6.079587,103132,2018
US,AL,etowah,32.318231,-86.902298,OTHER,0.426638,103132,2018
US,AL,etowah,32.318231,-86.902298,PSYCHIATRIC,0.659349,103132,2018
US,AL,fayette,32.318231,-86.902298,ACUTE,3.662124,16657,2018
US,AL,franklin,32.318231,-86.902298,ACUTE,3.173898,31507,2018
US,AL,franklin,32.318231,-86.902298,ICU,0.793474,31507,2018
US,AL,geneva,32.318231,-86.902298,ACUTE,3.123589,26572,2018
US,AL,greene,32.318231,-86.902298,ACUTE,2.343842,8533,2018
US,AL,hale,32.318231,-86.902298,ACUTE,2.600867,14995,2018
US,AL,houston,32.318231,-86.902298,ACUTE,6.291543,104108,2018
US,AL,houston,32.318231,-86.902298,OTHER,0.854881,104108,2018
US,AL,houston,32.318231,-86.902298,PSYCHIATRIC,0.365006,104108,2018
US,AL,jackson,32.318231,-86.902298,ACUTE,3.248863,52326,2018
US,AL,jefferson,32.318231,-86.902298,ACUTE,6.672126,659460,2017
US,AL,jefferson,32.318231,-86.902298,OTHER,1.129712,659460,2018
US,AL,jefferson,32.318231,-86.902298,PSYCHIATRIC,0.142541,659460,2018
US,AL,lauderdale,32.318231,-86.902298,ACUTE,3.866508,92590,2018
US,AL,lawrence,32.318231,-86.902298,ACUTE,2.944004,33288,2018
