country,lat,lng,type,beds,population,year
AF,33,65,TOTAL,0.5,31161376,2012
AO,-12.5,18.5,TOTAL,0.8,19433602,2005
AL,41,20,TOTAL,2.6,2900401,2012
AD,42.5,1.5,TOTAL,2.5,84463,2009
AE,24,54,TOTAL,1.1,9141596,2012
AR,-34,-64,TOTAL,4.7,41733271,2012
AM,40,45,TOTAL,3.9,2884229,2012
AG,17.05,-61.8,TOTAL,2.1,89253,2011
AU,-27,133,TOTAL,3.9,22031750,2010
AT,47.33,13.33,TOTAL,7.6,8391643,2011
AZ,40.5,47.5,TOTAL,4.7,9295784,2012
BI,-3.5,30,TOTAL,1.9,8958406,2011
BE,50.83,4,TOTAL,6.5,11106932,2012
BJ,9.5,2.25,TOTAL,0.5,9199259,2010
BF,13,-2,TOTAL,0.4,15605217,2010
BD,24,90,TOTAL,0.6,149273778,2011
BG,43,25,TOTAL,6.4,7348328,2011
BH,26,50.55,TOTAL,2.1,1299943,2012
BS,24.25,-76,TOTAL,2.9,359577,2011
BA,44,18,TOTAL,3.5,3705472,2010
BY,53,28,TOTAL,11.3,9473172,2011
BZ,17.25,-88.75,TOTAL,1.1,338000,2012
BM,32.33,-64.75,TOTAL,6.300000191,60129,1996
BO,-17,-65,TOTAL,1.1,10377676,2012
BR,-10,-55,TOTAL,2.3,199300000,2012
BB,13.17,-59.53,TOTAL,6.2,283700,2012
BN,4.5,114.67,TOTAL,2.8,398989,2012
BT,27.5,90.5,TOTAL,1.8,701583,2012
BW,-22,24,TOTAL,1.8,1987105,2010
CF,7,21,TOTAL,1,4418636,2011
CA,60,-95,TOTAL,2.7,34004889,2010
CH,47,8,TOTAL,5,7912398,2011
CL,-30,-71,TOTAL,2.1,17233576,2011
CN,35,105,TOTAL,3.8,1344000000,2011
CI,8,-5,TOTAL,0.4,18754916,2006
CM,6,12,TOTAL,1.3,20341241,2010
CD,0,25,TOTAL,0.8,56578037,2006
CG,-1,15,TOTAL,1.6,3622775,2005
CO,4,-72,TOTAL,1.5,46076848,2012
KM,-12.17,44.25,TOTAL,2.2,626425,2006
CV,16,-24,TOTAL,2.1,492654,2010
CR,10,-84,TOTAL,1.2,4688000,2012
CU,21.5,-80,TOTAL,5.3,11257101,2012
KY,19.5,-80.5,TOTAL,3,25312,1990
CY,35,33,TOTAL,3.5,1124833,2011
CZ,49.75,15.5,TOTAL,6.8,10496088,2011
DE,51,9,TOTAL,8.2,80274983,2011
DJ,11.5,43,TOTAL,1.4,868136,2012
DM,15.42,-61.33,TOTAL,3.8,70965,2012
DK,56,10,TOTAL,3.5,5547683,2010
DO,19,-70.67,TOTAL,1.7,9813210,2011
DZ,28,3,TOTAL,1.7,32692163,2004
EC,-2,-77.5,TOTAL,1.6,15243883,2011
EG,27,30,TOTAL,0.5,86422240,2012
ER,15,39,TOTAL,0.7,3213972,2011
ES,40,-4,TOTAL,3.1,46742697,2011
EE,59,26,TOTAL,5.3,1327439,2011
ET,8,38,TOTAL,6.3,90139927,2011
FI,64,26,TOTAL,5.5,5388272,2011
FJ,-18,175,TOTAL,2.1,853637,2009
FR,46,2,TOTAL,6.4,65342780,2011
FM,6.92,158.25,TOTAL,3.2,102975,2009
GA,-1,11.75,TOTAL,6.3,1624140,2010
GB,54,-2,TOTAL,2.9,63258810,2011
GE,42,43.5,TOTAL,2.6,3728874,2012
GH,8,-2,TOTAL,0.9,25387710,2011
GN,11,-10,TOTAL,0.3,10420471,2011
GM,13.47,-16.57,TOTAL,1.1,1848147,2011
GW,12,-15,TOTAL,1,1483921,2009
GQ,2,10,TOTAL,2.1,943639,2010
GR,39,22,TOTAL,4.8,11107017,2009
GD,12.12,-61.67,TOTAL,3.5,107446,2012
GL,72,-40,TOTAL,14.35340023,46400,1970
GT,15.5,-90.25,TOTAL,0.6,14948803,2011
GY,5,-59,TOTAL,2,747718,2009
HK,22.25,114.17,TOTAL,4.890900135,5456200,1985
HN,15,-86.5,TOTAL,0.7,8640691,2012
HR,45.17,15.5,TOTAL,5.89,4238389,2014
HT,19,-72.42,TOTAL,1.3,9495328,2007
HU,47,20,TOTAL,7.2,9971727,2011
ID,-5,120,TOTAL,0.9,248452413,2012
IN,20,77,TOTAL,0.7,1250000000,2011
IE,53,-8,TOTAL,2.9,4580084,2011
IR,32,53,TOTAL,0.1,75539862,2012
IQ,33,44,TOTAL,1.3,31890011,2012
IS,65,-18,TOTAL,3.2,320716,2012
IL,31.5,34.75,TOTAL,3.3,7910500,2012
IT,42.83,12.83,TOTAL,3.4,59379449,2011
JM,18.25,-77.5,TOTAL,1.7,2842132,2012
JO,31,36,TOTAL,1.8,8090872,2012
JP,36,138,TOTAL,13.7,128047000,2009
KZ,48,68,TOTAL,7.2,16792089,2012
KE,1,38,TOTAL,1.4,42030676,2010
KG,41,75,TOTAL,4.8,5607200,2012
KH,13,105,TOTAL,0.7,14541423,2011
KI,1.42,173,TOTAL,1.3,104728,2011
KN,17.33,-62.75,TOTAL,2.3,49887,2012
KR,37,127.5,TOTAL,10.3,49307835,2009
KW,29.34,47.66,TOTAL,2.2,3348853,2012
LA,18,105,TOTAL,1.5,6444530,2012
LB,33.83,35.83,TOTAL,3.5,5538634,2012
LR,6.5,-9.5,TOTAL,0.8,3891356,2010
LY,25,17,TOTAL,3.7,6285750,2012
LC,13.88,-61.13,TOTAL,1.6,175544,2011
LK,7,81,TOTAL,3.6,20425000,2012
LS,-29.5,28.5,TOTAL,1.3,1989939,2006
LT,56,24,TOTAL,7,3028115,2011
