country,state,county,lat,lng,type,measure,beds,population,year
DE,,,51,9,ICU,1000HAB,0.292,80330000,2011
LU,,,49.75,6.17,ICU,1000HAB,0.248,511840,2011
AT,,,47.33,13.33,ICU,1000HAB,0.218,8375000,2011
RO,,,46,25,ICU,1000HAB,0.214,20200000,2011
BE,,,50.83,4,ICU,1000HAB,0.159,11000000,2011
LT,,,56,24,ICU,1000HAB,0.155,3028000,2011
HR,,,45.17,15.5,ICU,1000HAB,0.147,4290000,2011
EE,,,59,26,ICU,1000HAB,0.146,1294455,2011
HU,,,47,20,ICU,1000HAB,0.138,9937628,2011
IT,,,42.83,12.83,ICU,1000HAB,0.125,59360000,2011
BG,,,43,25,ICU,1000HAB,0.122,7369000,2011
FR,,,46,2,ICU,1000HAB,0.116,64930000,2011
CZ,,,49.75,15.5,ICU,1000HAB,0.116,10560000,2011
CY,,,35,33,ICU,1000HAB,0.114,838897,2011
CH,,,47,8,ICU,1000HAB,0.11,7870134,2011
ES,,,40,-4,ICU,1000HAB,0.097,46670000,2011
LV,,,57,25,ICU,1000HAB,0.097,2070000,2011
SK,,,48.67,19.5,ICU,1000HAB,0.092,5404322,2011
IS,,,65,-18,ICU,1000HAB,0.091,319575,2011
NO,,,62,10,ICU,1000HAB,0.08,5000000,2011
AD,,,42.5,1.5,ICU,1000HAB,0.071,83747,2011
PL,,,52,20,ICU,1000HAB,0.069,38060000,2011
DK,,,56,10,ICU,1000HAB,0.067,5580516,2011
GB,,,54,-2,ICU,1000HAB,0.066,63020000,2011
IE,,,53,-8,ICU,1000HAB,0.065,4571000,2011
SI,,,46,15,ICU,1000HAB,0.064,2050000,2011
NL,,,52.5,5.75,ICU,1000HAB,0.064,16660000,2011
FI,,,64,26,ICU,1000HAB,0.061,5375000,2011
GR,,,39,22,ICU,1000HAB,0.06,11120000,2011
SE,,,62,15,ICU,1000HAB,0.058,9416000,2011
PT,,,39.5,-8,ICU,1000HAB,0.042,10570000,2011
