country,state,county,lat,lng,type,beds,population,year
AU,,,-27,133,PSYCHIATRIC,0.42,24190907,2016
AU,,,-27,133,TOTAL,3.84,24190907,2016
AT,,,47.33,13.33,ACUTE,5.45,8797566,2017
AT,,,47.33,13.33,PSYCHIATRIC,0.61,8797566,2017
AT,,,47.33,13.33,TOTAL,7.37,8797566,2017
BE,,,50.83,4,ACUTE,4.98,11433256,2018
BE,,,50.83,4,PSYCHIATRIC,1.36,11433256,2018
BE,,,50.83,4,TOTAL,5.64,11433256,2018
BR,,,-10,-55,TOTAL,2.3,199300000,2012
CA,,,60,-95,ACUTE,1.95,37057765,2018
CA,,,60,-95,PSYCHIATRIC,0.34,37057765,2018
CA,,,60,-95,TOTAL,2.5,37057765,2018
CH,,,47,8,ACUTE,3.56,8451840,2017
CH,,,47,8,PSYCHIATRIC,0.93,8451840,2017
CH,,,47,8,TOTAL,4.53,8451840,2017
CL,,,-30,-71,ACUTE,1.99,18470439,2017
CL,,,-30,-71,PSYCHIATRIC,0.1,18470439,2017
CL,,,-30,-71,TOTAL,2.11,18470439,2017
CN,,,35,105,TOTAL,4.34,1386000000,2017
CO,,,4,-72,TOTAL,1.71,49650000,2018
CR,,,10,-84,TOTAL,1.13,4949954,2017
CZ,,,49.75,15.5,ACUTE,4.11,10594438,2017
CZ,,,49.75,15.5,PSYCHIATRIC,0.94,10594438,2017
CZ,,,49.75,15.5,TOTAL,6.63,10594438,2017
DE,,,51,9,ACUTE,6.02,82657002,2017
DE,,,51,9,PSYCHIATRIC,1.28,82657002,2017
DE,,,51,9,TOTAL,8,82657002,2017
DK,,,56,10,ACUTE,2.42,5793636,2018
DK,,,56,10,PSYCHIATRIC,0.47,5793636,2018
DK,,,56,10,TOTAL,2.5,5793636,2018
ES,,,40,-4,ACUTE,2.43,46593236,2017
ES,,,40,-4,PSYCHIATRIC,0.36,46593236,2017
ES,,,40,-4,TOTAL,2.97,46593236,2017
EE,,,59,26,ACUTE,3.45,1317384,2017
EE,,,59,26,PSYCHIATRIC,0.53,1317384,2017
EE,,,59,26,TOTAL,4.69,1317384,2017
FI,,,64,26,ACUTE,2.8,5508214,2017
FI,,,64,26,PSYCHIATRIC,0.39,5508214,2017
FI,,,64,26,TOTAL,3.28,5508214,2017
FR,,,46,2,ACUTE,3.09,66865144,2017
FR,,,46,2,PSYCHIATRIC,0.84,66865144,2017
FR,,,46,2,TOTAL,5.98,66865144,2017
GB,,,54,-2,ACUTE,2.11,66058859,2017
GB,,,54,-2,PSYCHIATRIC,0.38,66058859,2017
GB,,,54,-2,TOTAL,2.54,66058859,2017
GR,,,39,22,ACUTE,3.6,10754679,2017
GR,,,39,22,PSYCHIATRIC,0.74,10754679,2017
GR,,,39,22,TOTAL,4.21,10754679,2017
HU,,,47,20,ACUTE,4.27,9787966,2017
HU,,,47,20,PSYCHIATRIC,0.87,9787966,2017
HU,,,47,20,TOTAL,7.02,9787966,2017
ID,,,-5,120,TOTAL,1.04,264645886,2017
IN,,,20,77,TOTAL,0.53,1339000000,2017
IE,,,53,-8,ACUTE,2.77,4807388,2017
IE,,,53,-8,PSYCHIATRIC,0.34,4807388,2017
IE,,,53,-8,TOTAL,2.96,4807388,2017
IS,,,65,-18,ACUTE,2.37,352721,2018
IS,,,65,-18,PSYCHIATRIC,0.37,352721,2018
IS,,,65,-18,TOTAL,2.91,352721,2018
IL,,,31.5,34.75,ACUTE,2.19,8882800,2018
IL,,,31.5,34.75,PSYCHIATRIC,0.4,8882800,2018
IL,,,31.5,34.75,TOTAL,2.99,8882800,2018
IT,,,42.83,12.83,ACUTE,2.62,60536709,2017
IT,,,42.83,12.83,PSYCHIATRIC,0.09,60536709,2017
IT,,,42.83,12.83,TOTAL,3.18,60536709,2017
JP,,,36,138,ACUTE,7.79,126785797,2017
JP,,,36,138,PSYCHIATRIC,2.62,126785797,2017
JP,,,36,138,TOTAL,13.05,126785797,2017
KR,,,37,127.5,ACUTE,7.14,51361911,2017
KR,,,37,127.5,PSYCHIATRIC,1.31,51361911,2017
KR,,,37,127.5,TOTAL,12.27,51361911,2017
LT,,,56,24,ACUTE,5.47,2828403,2017
LT,,,56,24,PSYCHIATRIC,0.99,2828403,2017
LT,,,56,24,TOTAL,6.56,2828403,2017
LU,,,49.75,6.17,ACUTE,3.7,607950,2018
LU,,,49.75,6.17,PSYCHIATRIC,0.74,607950,2018
LU,,,49.75,6.17,TOTAL,4.51,607950,2018
LV,,,57,25,ACUTE,3.3,1942248,2017
LV,,,57,25,PSYCHIATRIC,1.25,1942248,2017
LV,,,57,25,TOTAL,5.57,1942248,2017
MX,,,23,-102,ACUTE,1.38,124777324,2017
MX,,,23,-102,PSYCHIATRIC,0.03,124777324,2017
MX,,,23,-102,TOTAL,1.38,124777324,2017
NL,,,52.5,5.75,ACUTE,2.92,17131296,2017
NL,,,52.5,5.75,PSYCHIATRIC,0.91,17131296,2017
NL,,,52.5,5.75,TOTAL,3.32,17131296,2017
NO,,,62,10,ACUTE,3.2,5276968,2017
NO,,,62,10,PSYCHIATRIC,1.07,5276968,2017
NO,,,62,10,TOTAL,3.6,5276968,2017
NZ,,,-41,174,ACUTE,2.59,4841000,2018
NZ,,,-41,174,PSYCHIATRIC,0.3,4841000,2018
NZ,,,-41,174,TOTAL,2.61,4841000,2018
PL,,,52,20,ACUTE,4.85,37974826,2017
PL,,,52,20,PSYCHIATRIC,0.65,37974826,2017
PL,,,52,20,TOTAL,6.62,37974826,2017
PT,,,39.5,-8,ACUTE,3.25,10300300,2017
PT,,,39.5,-8,PSYCHIATRIC,0.64,10300300,2017
PT,,,39.5,-8,TOTAL,3.39,10300300,2017
RU,,,60,100,TOTAL,8.05,144496740,2017
SK,,,48.67,19.5,ACUTE,4.91,5439232,2017
