country,lat,lng,type,beds,population,year
AF,33,65,TOTAL,0.5,34413603,2015
AO,-12.5,18.5,TOTAL,0.8,19433602,2005
AL,41,20,TOTAL,2.9,2895092,2013
AD,42.5,1.5,TOTAL,2.5,84463,2009
AE,24,54,TOTAL,1.2,9197910,2013
AR,-34,-64,TOTAL,5,42669500,2014
AM,40,45,TOTAL,4.2,2925553,2015
AG,17.05,-61.8,TOTAL,3.8,92562,2014
AU,-27,133,TOTAL,3.8,23475686,2014
AT,47.33,13.33,TOTAL,7.6,8479823,2013
AZ,40.5,47.5,TOTAL,4.7,9416801,2013
BI,-3.5,30,TOTAL,0.8,9844297,2014
BE,50.83,4,TOTAL,6.2,11209057,2014
BJ,9.5,2.25,TOTAL,0.5,9199259,2010
BF,13,-2,TOTAL,0.4,15605217,2010
BD,24,90,TOTAL,0.8,156256276,2015
BG,43,25,TOTAL,6.8,7265115,2013
BH,26,50.55,TOTAL,2,1336075,2014
BS,24.25,-76,TOTAL,2.9,367168,2013
BA,44,18,TOTAL,3.5,3542605,2013
BY,53,28,TOTAL,11,9465997,2013
BZ,17.25,-88.75,TOTAL,1.3,353366,2014
BM,32.33,-64.75,TOTAL,6.3,60129,1996
BO,-17,-65,TOTAL,1.1,10706517,2014
BR,-10,-55,TOTAL,2.2,202800000,2014
BB,13.17,-59.53,TOTAL,5.8,284825,2014
BN,4.5,114.67,TOTAL,2.7,414907,2015
BT,27.5,90.5,TOTAL,1.7,701583,2012
BW,-22,24,TOTAL,1.8,1987105,2010
CF,7,21,TOTAL,1,4418636,2011
CA,60,-95,TOTAL,2.7,34714222,2012
CH,47,8,TOTAL,4.7,8089346,2013
CL,-30,-71,TOTAL,2.2,17571507,2013
CN,35,105,TOTAL,4.2,1351000000,2012
CI,8,-5,TOTAL,0.4,18754916,2006
CM,6,12,TOTAL,1.3,20341241,2010
CD,0,25,TOTAL,0.8,56578037,2006
CG,-1,15,TOTAL,1.6,3622775,2005
CO,4,-72,TOTAL,1.5,46969209,2014
KM,-12.17,44.25,TOTAL,2.2,689692,2010
CV,16,-24,TOTAL,2.1,492654,2010
CR,10,-84,TOTAL,1.2,4847804,2015
CU,21.5,-80,TOTAL,5.2,11306902,2014
KY,19.5,-80.5,TOTAL,3,25312,1990
CY,35,33,TOTAL,3.4,1143866,2013
CZ,49.75,15.5,TOTAL,6.5,10546059,2015
DE,51,9,TOTAL,8.3,80645605,2013
DJ,11.5,43,TOTAL,1.4,898696,2014
DM,15.42,-61.33,TOTAL,3.8,70965,2012
DK,56,10,TOTAL,2.5,5683483,2015
DO,19,-70.67,TOTAL,1.6,10165178,2014
